"name","type","id","date_established","detail_page_url","acreage"
"Indiana Dunes","lakeshore","indianadunes","1966-11-06T05:00:00.000Z","https://en.wikipedia.org/wiki/Indiana_Dunes_National_Lakeshore",15067.38
"Pictured Rocks","lakeshore","picturedrocks","1966-10-15T05:00:00.000Z","https://en.wikipedia.org/wiki/Pictured_Rocks_National_Lakeshore",73235.83
"Sleeping Bear Dunes","lakeshore","sleepingbeardunes","1970-10-21T05:00:00.000Z","https://en.wikipedia.org/wiki/Sleeping_Bear_Dunes_National_Lakeshore",71198.48
"Allegheny","forest","allegheny","1923-09-24T05:00:00.000Z","https://en.wikipedia.org/wiki/Allegheny_National_Forest",513655
"Angeles","forest","angeles","null","https://en.wikipedia.org/wiki/Angeles_National_Forest",661565
"Apache-Sitgreaves","forest","apachesitgreaves","1898-08-17T05:00:00.000Z","https://en.wikipedia.org/wiki/Apache-Sitgreaves_National_Forest",2626306
"Arapaho","forest","arapaho","1903-10-24T05:00:00.000Z","https://en.wikipedia.org/wiki/Arapaho_National_Forest",720418
"Ashley","forest","ashley","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Ashley_National_Forest",1378424
"Beaverhead-Deerlodge","forest","beaverheaddeerlodge","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Beaverhead-Deerlodge_National_Forest",3362638
"Bighorn","forest","bighorn","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Bighorn_National_Forest",1105311
"Bitterroot","forest","bitterroot","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Bitterroot_National_Forest",1594579
"Black Hills","forest","blackhills","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Black_Hills_National_Forest",1250866
"Boise","forest","boise","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Boise_National_Forest",2648273
"Bridger-Teton","forest","bridgerteton","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Bridger-Teton_National_Forest",3383302
"Caribou-Targhee","forest","cariboutarghee","1905-05-23T05:00:00.000Z","https://en.wikipedia.org/wiki/Caribou-Targhee_National_Forest",2624739
"Carson","forest","carson","1906-11-07T06:00:00.000Z","https://en.wikipedia.org/wiki/Carson_National_Forest",1390885
"Chattahoochee-Oconee","forest","chattahoocheeoconee","1936-07-09T05:00:00.000Z","https://en.wikipedia.org/wiki/Chattahoochee-Oconee_National_Forest",866763
