"id","name","type","date_established","acreage","detail_page_url"
"newberry","Newberry","monument","1990-11-05T06:00:00.000Z",55500,"https://en.wikipedia.org/wiki/Newberry_National_Volcanic_Monument"
"little-bighorn-battlefield","Little Bighorn Battlefield","monument","1940-07-01T05:00:00.000Z",765.34,"https://en.wikipedia.org/wiki/Little_Bighorn_Battlefield_National_Monument"
"muir-woods","Muir Woods","monument","1908-01-09T06:00:00.000Z",554,"https://en.wikipedia.org/wiki/Muir_Woods_National_Monument"
"john-day-fossil-beds","John Day Fossil Beds","monument","1974-10-26T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/John_Day_Fossil_Beds_National_Monument"
"bandelier","Bandelier","monument","1916-02-11T06:00:00.000Z",54,"https://en.wikipedia.org/wiki/Bandelier_National_Monument"
"ocmulgee","Ocmulgee","monument","1936-12-23T06:00:00.000Z",701.54,"https://en.wikipedia.org/wiki/Ocmulgee_National_Monument"
"stonewall","Stonewall","monument","2016-06-24T05:00:00.000Z",7.7,"https://en.wikipedia.org/wiki/Stonewall_National_Monument"
"navajo","Navajo","monument","1909-03-20T05:00:00.000Z",360,"https://en.wikipedia.org/wiki/Navajo_National_Monument"
"statue-of-liberty","Statue of Liberty","monument","1924-10-15T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Statue_of_Liberty_National_Monument"
"poverty-point","Poverty Point","monument","1988-10-31T06:00:00.000Z",910.85,"https://en.wikipedia.org/wiki/Poverty_Point_National_Monument"
"oregon-caves","Oregon Caves","monument","1909-07-12T05:00:00.000Z",4554,"https://en.wikipedia.org/wiki/Oregon_Caves_National_Monument"
"russell-cave","Russell Cave","monument","1961-05-11T05:00:00.000Z",310,"https://en.wikipedia.org/wiki/Russell_Cave_National_Monument"
"rio-grande-del-norte","Río Grande del Norte","monument","2013-03-25T05:00:00.000Z",242555,"https://en.wikipedia.org/wiki/R%C3%ADo_Grande_del_Norte_National_Monument"
"alibates-flint-quarries","Alibates Flint Quarries","monument","1965-08-21T05:00:00.000Z",1371,"https://en.wikipedia.org/wiki/Alibates_Flint_Quarries_National_Monument"
"salinas-pueblo-missions","Salinas Pueblo Missions","monument","1909-11-01T05:00:00.000Z",1076.9,"https://en.wikipedia.org/wiki/Salinas_Pueblo_Missions_National_Monument"
"rose-atoll-marine","Rose Atoll Marine","monument","2009-01-06T06:00:00.000Z",8571633,"https://en.wikipedia.org/wiki/Rose_Atoll_Marine_National_Monument"
"rainbow-bridge","Rainbow Bridge","monument","1910-05-30T05:00:00.000Z",160,"https://en.wikipedia.org/wiki/Rainbow_Bridge_National_Monument"
